lenguaje,archivo,rep,tiempo_ms
c,docker-compose-08.yml,4,0.9291250000273976
python,docker-compose-09.yml,0,14.191666999977315
python,docker-compose-09.yml,1,14.099208000004637
python,docker-compose-09.yml,2,14.169750000007753
python,docker-compose-09.yml,3,13.19300000000112
python,docker-compose-09.yml,4,13.321207999979379
java,docker-compose-09.yml,0,349.28895799998827
java,docker-compose-09.yml,1,349.3572919999792
java,docker-compose-09.yml,2,363.3133339999972
java,docker-compose-09.yml,3,343.1804589999956
java,docker-compose-09.yml,4,351.34645799996633
c,docker-compose-09.yml,0,1.2821249999888096
c,docker-compose-09.yml,1,0.8839170000101149
c,docker-compose-09.yml,2,0.8041660000230877
c,docker-compose-09.yml,3,0.7254580000335409
c,docker-compose-09.yml,4,0.8483750000323198
python,docker-compose-10.yml,0,14.026375000014468
python,docker-compose-10.yml,1,13.613875000032749
python,docker-compose-10.yml,2,13.28516699999227
python,docker-compose-10.yml,3,13.47350000003189
python,docker-compose-10.yml,4,13.365167000017664
java,docker-compose-10.yml,0,360.72029199999633
java,docker-compose-10.yml,1,382.3076670000205
java,docker-compose-10.yml,2,372.83258299999034
java,docker-compose-10.yml,3,377.7527500000133
java,docker-compose-10.yml,4,381.1054169999579
c,docker-compose-10.yml,0,1.308832999995957
c,docker-compose-10.yml,1,1.0024580000163041
c,docker-compose-10.yml,2,1.010167000004003
c,docker-compose-10.yml,3,1.0125829999765301
c,docker-compose-10.yml,4,0.957665999976598
